H_TT1	H_TT2	H_TT3	H_TT5	H_TT7	H_TT11	H_TT12	H_TT16	H_TT20	H_TT21	H_TT23	H_TT24	H_TT28	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81	H_BP1	H_BP4	H_BP5	H_BP7
Listeria innocua	27	20	27	46	23	22	286	59	9	0	0	42	0	0	0	94	21	49	30	7	59	69	48	27	40	0	23	0	0	94
Brochothrix thermosphacta	12	30	8	38	7	22	5481	2021	7	16	6	50	21	0	0	13	5	5	52	8	455	51	197	28	8	15	28	52	88	84
Solibacillus silvestris	0	34	103	51	15	28	364	70	37	5	5	96	10	9	0	3517	60	56	37	27	82	55	42	68	89	27	30	5	10	147
Sporolactobacillus terrae	5	6	11	0	0	92	7343	22	119	0	0	61	0	6	0	21	112	23	10	0	555	27	62	7	45	17	13	0	0	19
Clostridium perfringens	14	49	124	73	55	158	2483	91	108	8	9	619	91	99	25	318	626	88	396	556	212	33797	425	28346	73	0	55	27	0	269
Clostridium intestinale	5	0	0	0	0	0	16	0	0	0	0	11	924	0	0	6	203	0	0	0	0	2198	0	3225	0	0	154	0	0	0
Clostridium butyricum	9	27	11	0	0	9	93	41	0	0	7	16	0	0	0	41	41	32	24	0	53	2331	52	2502	21	0	20	0	0	32
Clostridium beijerinckii	15	33	7	0	0	9	13637	21	19	0	0	37	0	0	0	0	56	17	25	46	634	102	0	833	16	0	17	0	0	104
Clostridium chauvoei	116	0	7	1093	0	6	488	355	0	0	0	208	0	8	0	9	11	962	20	8	599	351	324	1303	304	7	0	0	0	3084
Clostridium cellulovorans	0	0	9	0	0	0	18	0	0	0	0	57	0	0	0	0	297	0	0	0	0	20	52	16	0	0	0	0	0	0
Blautia wexlerae	29	39	13	11	0	19	0	65	0	24	0	0	0	82	0	0	8	0	379	0	0	380	27	62	0	0	0	0	0	0
Roseburia intestinalis	0	0	0	0	0	0	460	0	14	17	0	139	0	0	0	0	78	0	112	201	202	0	31	0	9	0	0	0	0	0
[Ruminococcus] gnavus	29	11	3412	13159	0	27	14140	2846	1502	9	14	10071	79	742	0	51	4774	18378	13033	47	14938	0	7031	16057	3211	0	767	0	0	25527
Enterocloster bolteae	0	0	0	0	0	0	35	0	18	0	35	273	0	0	0	106	360	0	157	247	103	0	162	10	0	0	6	0	37	0
Faecalibacterium prausnitzii	0	24	0	0	0	0	25	40	31	13	0	0	19	0	0	323	30	0	112	0	232	0	0	0	50	0	0	0	0	0
