name	taxonomy_id	taxonomy_lvl	NEG	NC	TT28	TT54	TT20	TT81	TT60	AM26	AM24	AM29	AM13	TT21	AM48	TT55	TT23
Corynebacterium aurimucosum	169292	S	48	59	11304	27	270	254	840	14	18	163	9	194	174	33	0
Corynebacterium fournieri	1852390	S	46	61	335	0	21	159	751	0	13	0	0	27	127	26	0
Corynebacterium freneyi	134034	S	46	19	35	0	15	30	85	0	0	0	19	16	0	0	0
Corynebacterium minutissimum	38301	S	48	54	1829	15	76	289	437	0	17	20	0	60	82	128	0
Corynebacterium diphtheriae	1717	S	166	242	523	29	96	479	842	0	0	5	68	294	11	18	0
Corynebacterium kefirresidentii	1979527	S	72	362	2785	80	5930	887	2783	28	26	11	91	670	94	354	9
Corynebacterium anserum	2684406	S	39	0	10	0	0	0	27	0	0	0	0	11	0	6	0
Corynebacterium kroppenstedtii	161879	S	35	1043	30600	78	219	1446	83441	17	50	9	70	15	531	27	14
Corynebacterium ihumii	1232427	S	55	135	581	14	62	340	1011	15	12	0	19	20	119	55	0
Corynebacterium singulare	161899	S	31	50	968	8	29	536	233	55	81	15	0	51	62	32	0
Corynebacterium callunae	1721	S	29	13	72	17	40	15	28	0	0	0	0	11	0	5	0
Corynebacterium jeddahense	1414719	S	27	73	381	15	41	158	378	0	10	0	5	19	76	41	0
Corynebacterium gerontici	2079234	S	23	0	27	0	0	0	19	0	0	0	0	22	0	0	0
Corynebacterium epidermidicanis	1050174	S	23	0	23	0	0	7	19	0	0	0	0	12	5	0	0
Corynebacterium provencense	1737425	S	23	67	192	0	20	153	242	0	0	11	0	7	40	8	0
Corynebacterium marinum	349751	S	23	0	42	0	5	5	37	0	0	0	10	17	11	0	0
Corynebacterium nuruki	1032851	S	22	7	33	0	0	10	35	0	0	0	15	0	0	0	0
Corynebacterium occultum	2675219	S	21	0	21	0	0	0	25	0	0	0	0	11	10	0	0
Corynebacterium mycetoides	38302	S	21	33	119	6	15	63	113	0	0	0	13	11	0	10	0
Corynebacterium sphenisci	191493	S	19	5	25	0	0	0	40	0	0	0	9	0	0	0	0
Corynebacterium coyleae	53374	S	18	65	255	35	1104	95	385	7	12	148	13	18	64	16	0
Corynebacterium confusum	71254	S	18	12	112	7	29	37	214	0	0	0	0	66	12	10	0
Corynebacterium vitaeruminis	38305	S	17	13	102	7	7	28	39	0	0	0	12	43	15	11	0
